trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-85.32481144116666,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-161.8892307744665,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-139.26882593508688,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-44.13327110373227,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-29.91652626507767,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,15,-44.40613326567787,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-49.977104780785766,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-136.82832828699117,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,13,-27.371172696692092,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,-64.26540954546535,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-12.476872641656783,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,6,-29.857187823635485,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,9,-64.37580923810128,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-58.026702127270276,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,13,14.597851523508552,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,-40.13092981566911,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-29.90700015112199,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,17.12056483862235,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-28.77988806935639,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,26.46352760779821,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-28.208965534190856,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,9,-60.3222400538375,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,14,6.519077568769853,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,38.9660535257757,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,16,10.982751352042936,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,-26.13964241202059,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,20,7.707279410539476,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,18,-26.03337840576441,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,2,28.87823842485871,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-14.582260047692852,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
