trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.995}",25,0,-113.90237339349945,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.99}",30,0,-212.1987532845119,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.985}",20,0,-157.68577264742123,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.98}",30,0,-150.81044807271132,"{0: 17, 1: 1, 2: 7, 3: 5, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.975}",25,0,-40.26978710977616,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.97}",25,0,-154.6248446161347,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.965}",25,0,-108.58555295192704,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.96}",25,0,-160.77143711234496,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.6, 'e': 0.955}",20,0,-136.32472207419394,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.95}",20,0,-54.10715018908096,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.945}",20,0,-78.56058967653297,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.94}",25,9,-62.55265664497244,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.6, 'e': 0.9349999999999999}",30,0,-224.9139372822279,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
14,False,"{'a': 0.6, 'e': 0.9299999999999999}",30,22,-26.590587710411278,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.6, 'e': 0.9249999999999999}",20,0,-63.27789193242609,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.9199999999999999}",30,0,-159.54257573440924,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.6, 'e': 0.9149999999999999}",20,0,-120.31344024601519,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.9099999999999999}",20,0,-74.9533239074481,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.9049999999999999}",20,0,-184.8477273185276,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.6, 'e': 0.8999999999999999}",30,3,-94.25191691745434,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 1}",1
21,False,"{'a': 0.6, 'e': 0.8949999999999999}",25,14,-75.77599325219032,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.6, 'e': 0.8899999999999999}",20,0,-152.58013943486733,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
23,False,"{'a': 0.6, 'e': 0.8849999999999999}",25,0,-113.49805295471006,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.8799999999999999}",20,0,-44.94345553977315,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.8749999999999999}",25,0,-143.04686892016545,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.6, 'e': 0.8699999999999999}",30,6,-38.20552322157693,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.8649999999999999}",20,0,-37.95004049278171,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.6, 'e': 0.8599999999999999}",25,0,-93.6075317420072,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.6, 'e': 0.8549999999999999}",30,8,-61.86176362370687,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.8499999999999999}",30,0,-186.58397670297998,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
31,False,"{'a': 0.6, 'e': 0.8449999999999999}",30,0,-139.10233546668877,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
32,False,"{'a': 0.6, 'e': 0.8399999999999999}",20,0,-39.88960796548536,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.6, 'e': 0.8349999999999999}",25,8,-40.87348961345405,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.6, 'e': 0.8299999999999998}",30,0,-74.3192133670654,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.8249999999999998}",25,0,-40.62646006390696,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.6, 'e': 0.8199999999999998}",25,0,-168.1388134222653,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
37,False,"{'a': 0.6, 'e': 0.8149999999999998}",30,18,-16.131192274236742,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.8099999999999998}",20,0,-126.6581345080246,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
39,False,"{'a': 0.6, 'e': 0.8049999999999998}",20,0,-105.63392034209036,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.6, 'e': 0.7999999999999998}",25,9,-53.59705101343013,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 0}",1
