trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.31840472248534,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.80144686117015,"{0: 17, 1: 3, 2: 4, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.90269734314764,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.66901826260754,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.471741720903,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.24289163792687,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.85242502270557,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-277.21066660512696,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 6}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.57660102236457,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.32319189616123,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-142.6426175174964,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.68481723490822,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.23901194770633,"{0: 19, 1: 7, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.73101168974472,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.89697606703037,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.2866175546125,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.26860858420181,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.23411294424943,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-86.39694145469028,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.2583209991093,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,10,-15.04104118388166,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-242.70997117409354,"{0: 6, 1: 4, 2: 5, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.76558540964398,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.8360886112829,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.90337164436177,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-189.37530204947228,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.11977332406036,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-207.3809198716525,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.70687099782666,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-143.62840348800256,"{0: 22, 1: 6, 2: 4, 3: 1, 4: 2}",0
